"game_id","season","season_type","home_team_name","away_team_name"
"401267337",2021,2,"Denver","Golden State"
"401267338",2021,2,"Portland","Indiana"
"401267340",2021,2,"Boston","Orlando"
"401267341",2021,2,"Cleveland","New York"
"401267342",2021,2,"Milwaukee","Dallas"
"401267344",2021,2,"Oklahoma City","Chicago"
"401267346",2021,2,"Utah","Atlanta"
"401267347",2021,2,"Los Angeles","New Orleans"
"401267348",2021,2,"Sacramento","LA"
"401267349",2021,2,"San Antonio","Houston"
"401267350",2021,2,"Brooklyn","Orlando"
"401267351",2021,2,"Toronto","Charlotte"
"401267352",2021,2,"Miami","Detroit"
"401267353",2021,2,"Memphis","Philadelphia"
"401267355",2021,2,"Portland","Atlanta"
"401267356",2021,2,"Boston","New York"
"401267358",2021,2,"Dallas","Chicago"
"401267360",2021,2,"Denver","Utah"
"401267361",2021,2,"Sacramento","New Orleans"
"401267362",2021,2,"LA","Indiana"
"401267363",2021,2,"New York","Orlando"
"401267365",2021,2,"Atlanta","Minnesota"
"401267366",2021,2,"Miami","Detroit"
"401267367",2021,2,"Portland","San Antonio"
"401267368",2021,2,"Memphis","Phoenix"
"401267369",2021,2,"Brooklyn","Milwaukee"
"401267370",2021,2,"Toronto","Dallas"
"401267371",2021,2,"Chicago","Houston"
"401267372",2021,2,"Los Angeles","Golden State"
"401267373",2021,2,"Denver","Oklahoma City"
"401267374",2021,2,"Utah","New Orleans"
"401267376",2021,2,"Cleveland","Brooklyn"
"401267377",2021,2,"Indiana","Dallas"
"401267378",2021,2,"Philadelphia","Boston"
"401267379",2021,2,"Atlanta","Detroit"
"401267380",2021,2,"Toronto","Miami"
"401267381",2021,2,"Minnesota","Orlando"
"401267382",2021,2,"Houston","Phoenix"
"401267383",2021,2,"Golden State","San Antonio"
"401267384",2021,2,"LA","Sacramento"
"401267386",2021,2,"Milwaukee","Los Angeles"
"401267387",2021,2,"Utah","New Orleans"
"401267388",2021,2,"Golden State","New York"
"401267389",2021,2,"Charlotte","Chicago"
"401267390",2021,2,"Detroit","Houston"
"401267391",2021,2,"Indiana","Orlando"
"401267392",2021,2,"Cleveland","Brooklyn"
"401267393",2021,2,"Philadelphia","Boston"
"401267394",2021,2,"Toronto","Miami"
"401267396",2021,2,"Minnesota","Atlanta"
"401267397",2021,2,"San Antonio","Dallas"
"401267398",2021,2,"Phoenix","Denver"
"401267399",2021,2,"LA","Oklahoma City"
"401267401",2021,2,"Sacramento","New York"
"401267402",2021,2,"Utah","Golden State"
"401267403",2021,2,"Detroit","Philadelphia"
"401267404",2021,2,"Brooklyn","Miami"
"401267405",2021,2,"Chicago","Los Angeles"
"401267406",2021,2,"Minnesota","New Orleans"
"401267407",2021,2,"Dallas","Houston"
"401267408",2021,2,"Phoenix","Denver"
"401267409",2021,2,"Indiana","Toronto"
"401267410",2021,2,"Boston","Cleveland"
"401267411",2021,2,"LA","Oklahoma City"
"401267412",2021,2,"Orlando","Charlotte"
"401267413",2021,2,"San Antonio","Washington"
"401267414",2021,2,"Milwaukee","Atlanta"
"401267416",2021,2,"Portland","New York"
"401267417",2021,2,"Detroit","Philadelphia"
"401267418",2021,2,"Indiana","Toronto"
"401267419",2021,2,"Orlando","Charlotte"
"401267420",2021,2,"Brooklyn","Miami"
"401267421",2021,2,"Cleveland","Los Angeles"
"401267422",2021,2,"Chicago","Boston"
"401267425",2021,2,"Dallas","Denver"
"401267426",2021,2,"Golden State","Minnesota"
