"game_id","season","season_type","home_team_name","away_team_name"
"401306573",2021,2,"USC","Stanford"
"401306574",2021,2,"Oregon","Arizona"
"401306591",2021,2,"Norfolk State","Delaware State"
"401306653",2021,2,"West Virginia","Baylor"
"401306673",2021,2,"Texas Tech","TCU"
"401306693",2021,2,"Iowa State","Texas"
"401306713",2021,2,"Texas Tech","Iowa State"
"401306733",2021,2,"Baylor","Oklahoma State"
"401306753",2021,2,"West Virginia","TCU"
"401306773",2021,2,"Oklahoma","Texas"
"401306793",2021,2,"West Virginia","Oklahoma State"
"401306813",2021,2,"Kansas State","Iowa State"
"401306853",2021,2,"TCU","Texas"
"401307273",2021,2,"Radford","Mount Aloysius"
"401307896",2021,2,"California Baptist","Vanguard"
"401307902",2021,2,"Kansas","UTEP"
"401308014",2021,2,"Kentucky","South Carolina"
"401308015",2021,2,"Georgia","Alabama"
"401308016",2021,2,"Missouri","LSU"
"401308017",2021,2,"Auburn","Mississippi State"
"401308018",2021,2,"Arkansas","Texas A&M"
"401308019",2021,2,"Ole Miss","Vanderbilt"
"401308020",2021,2,"Tennessee","Florida"
"401308093",2021,2,"Marist","Quinnipiac"
"401308794",2021,2,"Georgetown","Marquette"
"401308795",2021,2,"Xavier","Butler"
"401308796",2021,2,"Providence","DePaul"
"401308797",2021,2,"Villanova","Georgetown"
"401308798",2021,2,"St. John's","Seton Hall"
"401308853",2021,2,"Boston University","Lehigh"
"401308855",2021,2,"Creighton","Butler"
"401308856",2021,2,"UConn","DePaul"
"401308857",2021,2,"Seton Hall","Georgetown"
"401308858",2021,2,"Creighton","UConn"
"401308859",2021,2,"Creighton","Georgetown"
"401308873",2021,2,"Boise State","Fresno State"
"401308874",2021,2,"Colorado State","New Mexico"
"401308875",2021,2,"UNLV","San Diego State"
"401308876",2021,2,"Wyoming","UNLV"
"401308893",2021,2,"Utah State","Wyoming"
"401308894",2021,2,"Fresno State","Utah State"
"401309035",2021,2,"Jacksonville State","Murray State"
"401309036",2021,2,"Eastern Kentucky","Austin Peay"
"401309093",2021,2,"Norfolk State","St. Mary's (MD)"
"401309193",2021,2,"Tulsa","Northeastern State"
"401309434",2021,2,"Houston Baptist","Sam Houston State"
"401309479",2021,2,"Delaware State","Morgan St"
"401309516",2021,2,"New Mexico State","UT Rio Grande Valley"
"401309517",2021,2,"Dixie State","New Mexico State"
"401309518",2021,2,"Dixie State","New Mexico State"
"401309519",2021,2,"Nicholls","Northwestern State"
"401309755",2021,2,"Cincinnati","Vanderbilt"
"401309813",2021,2,"Wagner","Merrimack"
"401309814",2021,2,"Wagner","Merrimack"
"401310023",2021,2,"New Orleans","SE Louisiana"
"401310024",2021,2,"Lamar","Houston Baptist"
"401310113",2021,2,"Louisiana Tech","Our Lady of the Lake"
"401310334",2021,2,"Montana","Warner Pacific"
"401310335",2021,2,"Montana","Warner Pacific"
"401310513",2021,2,"UTSA","SW Adventist"
"401310603",2021,2,"Rice","Our Lady of the Lake"
"401310675",2021,2,"Wichita State","South Florida"
"401310985",2021,2,"Rice","Southern Miss"
"401311773",2021,3,"Richmond","Toledo"
"401311775",2021,3,"Davidson","NC State"
"401311776",2021,3,"Boise State","SMU"
"401311778",2021,3,"Ole Miss","Louisiana Tech"
"401311779",2021,3,"Memphis","Dayton"
"401311780",2021,3,"Saint Louis","Mississippi State"
"401311781",2021,3,"Richmond","Mississippi State"
"401311782",2021,3,"Memphis","Boise State"
"401311783",2021,3,"Western Kentucky","Louisiana Tech"
"401311784",2021,3,"Colorado State","NC State"
"401311785",2021,3,"Colorado State","Memphis"
"401311786",2021,3,"Mississippi State","Louisiana Tech"
"401311787",2021,3,"Memphis","Mississippi State"
"401311788",2021,3,"Colorado State","Louisiana Tech"
"401252578",NA,NA,NA,NA
"401252579",NA,NA,NA,NA
"401252584",NA,NA,NA,NA
"401252719",NA,NA,NA,NA
"401252776",NA,NA,NA,NA
"401252801",NA,NA,NA,NA
"401252804",NA,NA,NA,NA
"401252806",NA,NA,NA,NA
"401252807",NA,NA,NA,NA
"401252810",NA,NA,NA,NA
"401253306",NA,NA,NA,NA
"401253404",NA,NA,NA,NA
"401253477",NA,NA,NA,NA
"401253636",NA,NA,NA,NA
"401253639",NA,NA,NA,NA
"401253642",NA,NA,NA,NA
"401253646",NA,NA,NA,NA
"401253654",NA,NA,NA,NA
"401253657",NA,NA,NA,NA
"401253663",NA,NA,NA,NA
"401253668",NA,NA,NA,NA
"401253671",NA,NA,NA,NA
"401253674",NA,NA,NA,NA
"401253684",NA,NA,NA,NA
"401253686",NA,NA,NA,NA
"401253692",NA,NA,NA,NA
"401253693",NA,NA,NA,NA
"401253695",NA,NA,NA,NA
"401253703",NA,NA,NA,NA
"401253706",NA,NA,NA,NA
"401253927",NA,NA,NA,NA
"401253928",NA,NA,NA,NA
"401253931",NA,NA,NA,NA
"401253965",NA,NA,NA,NA
"401254038",NA,NA,NA,NA
"401254102",NA,NA,NA,NA
"401254104",NA,NA,NA,NA
"401255039",NA,NA,NA,NA
"401255578",NA,NA,NA,NA
"401255580",NA,NA,NA,NA
"401255600",NA,NA,NA,NA
"401255625",NA,NA,NA,NA
"401256093",NA,NA,NA,NA
"401256100",NA,NA,NA,NA
"401256512",NA,NA,NA,NA
"401257044",NA,NA,NA,NA
"401257057",NA,NA,NA,NA
"401257074",NA,NA,NA,NA
"401257084",NA,NA,NA,NA
"401257086",NA,NA,NA,NA
"401257087",NA,NA,NA,NA
"401257090",NA,NA,NA,NA
"401257092",NA,NA,NA,NA
"401257158",NA,NA,NA,NA
"401257375",NA,NA,NA,NA
"401257446",NA,NA,NA,NA
"401257450",NA,NA,NA,NA
"401257493",NA,NA,NA,NA
"401257569",NA,NA,NA,NA
"401257596",NA,NA,NA,NA
"401257954",NA,NA,NA,NA
"401258179",NA,NA,NA,NA
"401258509",NA,NA,NA,NA
"401258539",NA,NA,NA,NA
"401258553",NA,NA,NA,NA
"401258720",NA,NA,NA,NA
"401258723",NA,NA,NA,NA
"401258793",NA,NA,NA,NA
"401258800",NA,NA,NA,NA
"401258866",NA,NA,NA,NA
"401258867",NA,NA,NA,NA
"401258868",NA,NA,NA,NA
"401258878",NA,NA,NA,NA
"401258897",NA,NA,NA,NA
"401258916",NA,NA,NA,NA
"401258919",NA,NA,NA,NA
"401259028",NA,NA,NA,NA
"401259033",NA,NA,NA,NA
"401259050",NA,NA,NA,NA
"401259240",NA,NA,NA,NA
"401259243",NA,NA,NA,NA
"401259285",NA,NA,NA,NA
"401259286",NA,NA,NA,NA
"401259287",NA,NA,NA,NA
"401259288",NA,NA,NA,NA
"401259304",NA,NA,NA,NA
"401259546",NA,NA,NA,NA
"401259547",NA,NA,NA,NA
"401259548",NA,NA,NA,NA
"401259572",NA,NA,NA,NA
"401259573",NA,NA,NA,NA
"401259578",NA,NA,NA,NA
"401259581",NA,NA,NA,NA
"401259878",NA,NA,NA,NA
"401259884",NA,NA,NA,NA
"401259897",NA,NA,NA,NA
"401259955",NA,NA,NA,NA
"401260002",NA,NA,NA,NA
"401260006",NA,NA,NA,NA
"401260009",NA,NA,NA,NA
"401260176",NA,NA,NA,NA
"401260377",NA,NA,NA,NA
"401260378",NA,NA,NA,NA
"401260587",NA,NA,NA,NA
"401261473",NA,NA,NA,NA
"401261483",NA,NA,NA,NA
